Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
2-oxoacid dehydrogenases acyltransferase-domain-containing protein [Tuber indicum],Tuber indicum,1005,1005,100%,0.0,96.88,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG0135337.1?report=genbank&log$=prottop&blast_rank=1&RID=3AEZDCWK016"",""KAG0135337.1"")"
2-oxoacid dehydrogenases acyltransferase-domain-containing protein [Tuber brumale],Tuber brumale,858,858,100%,0.0,81.74,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG0639821.1?report=genbank&log$=prottop&blast_rank=2&RID=3AEZDCWK016"",""KAG0639821.1"")"
unnamed protein product [Tuber aestivum],Tuber aestivum,798,798,100%,0.0,81.03,522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CUS07273.1?report=genbank&log$=prottop&blast_rank=3&RID=3AEZDCWK016"",""CUS07273.1"")"
hypothetical protein C7212DRAFT_295619 [Tuber magnatum],Tuber magnatum,762,762,100%,0.0,79.54,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PWW75993.1?report=genbank&log$=prottop&blast_rank=4&RID=3AEZDCWK016"",""PWW75993.1"")"
2-oxoacid dehydrogenases acyltransferase-domain-containing protein [Tuber borchii],Tuber borchii,597,597,71%,0.0,82.88,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PUU81015.1?report=genbank&log$=prottop&blast_rank=5&RID=3AEZDCWK016"",""PUU81015.1"")"



		


